Tumore,Batteri_Scout,Virus_Killer,Funghi_Jailer,Salute_Ospite,Giorno
0.5,0.05,0.01,0.01,1.0,0
0.5133264247272241,0.05033658164671883,0.010105955371402428,0.010052171277146702,0.9997470854901043,1
0.5270915844847992,0.05067908138221935,0.01022411637312738,0.010108725275390409,0.9994886718789021,2
0.5413105516010251,0.051027545252557815,0.010355253561615721,0.010169869057526428,0.9992245638304874,3
0.5559988432656109,0.05138201901254763,0.010500216788735703,0.010235823650744467,0.9989545594744917,4
0.5711724389396948,0.051742548169712736,0.010659944539788618,0.010306825327941131,0.9986784500108689,5
0.5868477845705558,0.052109177958135786,0.010835476215097147,0.010383127140275016,0.9983960194215856,6
0.6030417634666634,0.0524819533490707,0.011027959081872866,0.010464999435501353,0.9981070446559467,7
0.6197717088086161,0.05286091903405325,0.011238664572473698,0.01055273187846181,0.997811295167165,8
0.6370553882689574,0.053246119424368785,0.01146900278602769,0.010646634926437745,0.9975085327922768,9
0.6549109877242038,0.05363759864606269,0.011720540560520357,0.010747041652038275,0.9971985115717384,10
0.6733571025643246,0.054035400537780096,0.0119950108127711,0.010854308673020278,0.9968809776592767,11
0.6924126928374372,0.05443956864212863,0.01229435089939978,0.01096881973771547,0.9965556690544802,12
0.7120970661975464,0.05485014620109709,0.012620720888567591,0.011090987531812837,0.9962223154258514,13
0.7324298246534667,0.05526717615138913,0.012976528577856259,0.01122125532407591,0.9958806382011103,14
0.7534308303260668,0.05569070111672662,0.013364462606458414,0.011360100130561598,0.9955303502873647,15
0.7751201193869746,0.056120763398981324,0.013787539302267397,0.011508036038305925,0.9951711560955475,16
0.7975178540285586,0.0565574049697912,0.014249134625380173,0.011665616786318155,0.994802751435905,17
0.8206441980901373,0.05700066745433559,0.014753048973465577,0.011833440036465996,0.9944248236118561,18
0.8445192410266147,0.05745059212224032,0.015303551185181508,0.012012150501305089,0.9940370513909091,19
0.8691628301038828,0.05790721986760803,0.01590546212870239,0.012202444948579345,0.9936391052137502,20
0.8945944461289436,0.058370591192258264,0.016564219223348938,0.012405076165405636,0.9932306472986517,21
0.9208329827358533,0.05884074617835937,0.01728598242109651,0.012620858691589886,0.9928113320034004,22
0.9478965609966333,0.059317724465471434,0.01807772502887755,0.012850673712958647,0.9923808060966717,23
0.9758022070557466,0.059801565210544166,0.01894738300812767,0.013095476080406622,0.9919387094106971,24
1.0045655692949034,0.060292307051932996,0.019903987270758053,0.013356300365177874,0.9914846753923408,25
1.0342005627872832,0.06078998806565683,0.020957827281925332,0.013634267958362494,0.9910183318551772,26
1.0647188773273735,0.061294645705829966,0.02212067323877786,0.01393059557275939,0.9905393021216978,27
1.0961294716560703,0.06180631674065328,0.023406003923648243,0.014246603465581074,0.9900472062165772,28
1.1284379725423552,0.06232503717850418,0.024829275665397898,0.014583724603452666,0.9895416623284948,29
1.161645874109918,0.06285084217245392,0.026408277934177313,0.014943515093928432,0.9890222888433827,30
1.1957497501252308,0.06338376592399854,0.02816348324542995,0.015327664251707878,0.9884887063479868,31
1.230740102484741,0.06392384154437025,0.030118554598140605,0.01573800670126801,0.9879405406835546,32
1.266600231002353,0.06447110091867397,0.03230084418525841,0.01617653369889497,0.9873774259394911,33
1.3033047393185637,0.0650255745294125,0.034742050658486096,0.0166454058530985,0.9867990084955856,34
1.340817824986742,0.06558729125213361,0.03747896997993334,0.01714696580813841,0.9862049517040333,35
1.3790912675541853,0.06615627811598837,0.04055437789497641,0.017683750973919988,0.9855949414549577,36
1.4180620248811866,0.06673256002078598,0.04401808341849875,0.01825850593291435,0.9849686928878439,37
1.457649428422962,0.06731615940118242,0.047928155151491944,0.018874193787971727,0.9843259583207304,38
1.4977519100626702,0.06790709583407374,0.05235234959047868,0.01953400586139339,0.9836665366000115,39
1.5382430925698027,0.06850538556183905,0.057369810884075265,0.020241368394874126,0.9829902844314881,40
1.5789673963549273,0.06911104094622972,0.0630729719373405,0.02099994540494328,0.9822971293034554,41
1.6197348248300298,0.06972406980134972,0.0695697952560756,0.021813635134354508,0.9815870851420679,42
1.6603150718312358,0.07034447460757143,0.07698627903610802,0.022686558185094987,0.9808602704609718,43
1.7004308512628998,0.07097225157576287,0.08546925404603092,0.02362303417632914,0.9801169295761869,44
1.739750461414302,0.07160738951931646,0.09518943137718182,0.02462754229313428,0.9793574573737944,45
1.7778798143782402,0.07224986854225227,0.10634458127367127,0.02570466481622545,0.9785824272224045,46
1.8143538083479926,0.07289965838795444,0.11916277718706221,0.02685899811158727,0.9777926241790543,47
1.8486279056619643,0.0735567165324893,0.13390531267799632,0.028095037128993035,0.9769890811146011,48
1.8800705274448983,0.07422098588850201,0.15086884325024594,0.02941701803084008,0.9761731185936177,49
1.9079565824391436,0.07489239199691233,0.17038648980925444,0.030828711120073057,0.975346389373736,50
1.9314645923558174,0.07557083969150193,0.19282657442345316,0.03233315939132362,0.974510923835449,51
1.9496785477219907,0.07625620907745383,0.2185882707665451,0.03393235535938332,0.9736691761583185,52
1.9615973609086734,0.07694835068821369,0.2480925890223251,0.03562685415682656,0.972824067430257,53
1.9661547939560229,0.07764707968925995,0.28176715492624205,0.03741532841922772,0.9719790211953607,54
1.9622528463811957,0.07835216893191277,0.3200232515402914,0.03929407924529631,0.971137985898867,55
1.9488116743849488,0.07906334067388876,0.36322371425278266,0.041256533200013705,0.9703054362636515,56
1.9248374935420578,0.0797802567444615,0.41164133951803283,0.04329277161165609,0.9694863454761075,57
1.8895078528314961,0.08050250695086736,0.4654088905317746,0.04538915889447807,0.9686861190616511,58
1.84226984714509,0.08122959551204695,0.5244641527226512,0.04752815142158533,0.9679104830726404,59
1.7829418035778393,0.08196092535078281,0.5884965461716128,0.049688378414096936,0.9671653223376253,60
1.7118047029039112,0.08269578014867987,0.6569041209036148,0.05184506937642962,0.9664564708001897,61
1.6296649755103527,0.08343330416308903,0.7287722010520968,0.053970880096219746,0.9657894635404892,62
1.5378710932212742,0.08417247999637911,0.8028836891139003,0.0560371031438969,0.9651692695152082,63
1.4382705937891072,0.08491210472098636,0.8777676455290411,0.05801517951540761,0.9646000319382105,64
1.3331045054053967,0.08565076507442833,0.9517856557759413,0.05987835368532109,0.9640848471139063,65
1.2248492054153524,0.08638681279836619,1.0232470320238785,0.06160326352500243,0.9636256109412268,66
1.1160281423204104,0.08711834160704475,1.0905364321428197,0.06317124991577905,0.9632229538070374,67
1.0090230741046982,0.08784316769532251,1.152233825396367,0.06456921439781238,0.962876271168051,68
0.9059140368949099,0.08855881610180588,1.2072082628518694,0.06578993555773638,0.9625838421398702,69
0.808368956519379,0.08926251551779672,1.2546734403261448,0.06683185495379386,0.9623430156491009,70
0.7175918226429292,0.08995120428743221,1.2942015771160356,0.06769842841757409,0.9621504361238947,71
0.634325721937992,0.09062155015097872,1.3257005037267118,0.06839719030894734,0.9620022800118537,72
0.5588983302051059,0.0912699858569183,1.3493642556409808,0.0689386925235173,0.9618944781909209,73
0.49129368162919446,0.09189276184575165,1.365609260902675,0.06933545596981548,0.9618229074613027,74
0.43123428427754285,0.09248601600737769,1.3750073809649197,0.06960103647508771,0.9617835419380468,75
0.37826149760328626,0.09304585887682351,1.3782238658622321,0.06974925897333455,0.9617725627959761,76
0.33180621649808395,0.09356847106338477,1.3759651543810336,0.06979363832381931,0.9617864295214061,77
0.29124594614200705,0.09405020801532989,1.3689385297858245,0.06974697793536615,0.961821918785335,78
0.2559476660617749,0.09448770588433228,1.3578233583881736,0.06962112028730162,0.961876138228171,79
0.22529770516114675,0.09487798166882933,1.343252472334004,0.06942681812550833,0.9619465220991533,80
0.1987207782554738,0.09521852082285735,1.3258017272017513,0.06917369513728396,0.9620308148212094,81
0.17569065862363814,0.0955073464280019,1.3059856665557183,0.0688702684964135,0.9621270473073571,82
